Country,AQI Value,Pollution Score,Rounded Pollution Score,Country Code
Afghanistan,86.33333333333333,2.562962962962963,3,AFG
Albania,77.11111111111111,2.3580246913580245,2,ALB
Algeria,106.25,3.0055555555555555,3,DZA
Andorra,32.0,1.3555555555555556,1,AND
Angola,85.0,2.533333333333333,3,AGO
Argentina,29.444444444444443,1.2987654320987654,1,ARG
Armenia,51.8,1.7955555555555556,2,ARM
Aruba,163.0,4.266666666666667,4,ABW
Australia,34.0,1.4,1,AUS
Austria,52.708333333333336,1.8157407407407407,2,AUT
Azerbaijan,61.30434782608695,2.006763285024155,2,AZE
Bahrain,188.0,4.822222222222223,5,BHR
Bangladesh,98.9090909090909,2.8424242424242423,3,BGD
Barbados,73.0,2.2666666666666666,2,BRB
Belarus,35.44444444444444,1.4320987654320987,1,BLR
Belgium,44.04724409448819,1.6232720909886265,2,BEL
Belize,46.333333333333336,1.674074074074074,2,BLZ
Benin,62.0,2.022222222222222,2,BEN
Bhutan,26.0,1.2222222222222223,1,BTN
Bolivia (Plurinational State of),25.485714285714284,1.2107936507936508,1,
Bosnia and Herzegovina,61.25,2.0055555555555555,2,BIH
Botswana,44.88235294117647,1.641830065359477,2,BWA
Brazil,43.16629213483146,1.6036953807740324,2,BRA
Bulgaria,52.56818181818182,1.8126262626262628,2,BGR
Burkina Faso,55.04545454545455,1.8676767676767678,2,BFA
Burundi,62.214285714285715,2.026984126984127,2,BDI
Cabo Verde,38.0,1.488888888888889,1,CPV
Cambodia,46.5,1.6777777777777778,2,KHM
Cameroon,67.48780487804878,2.1441734417344174,2,CMR
Canada,44.63013698630137,1.6362252663622527,2,CAN
Central African Republic,62.31578947368421,2.0292397660818713,2,CAF
Chad,80.125,2.425,2,TCD
Chile,104.8157894736842,2.9736842105263155,3,CHL
China,124.16937354988399,3.4037638566640886,3,CHN
Colombia,68.36842105263158,2.1637426900584797,2,COL
Comoros,33.0,1.3777777777777778,1,COM
Congo,78.25,2.3833333333333333,2,COG
Costa Rica,57.10989010989011,1.9135531135531134,2,CRI
Croatia,57.90909090909091,1.9313131313131313,2,HRV
Cuba,60.87323943661972,1.9971830985915493,2,CUB
Cyprus,50.0,1.7555555555555555,2,CYP
Czechia,60.76744186046512,1.9948320413436693,2,CZE
Côte d'Ivoire,50.666666666666664,1.7703703703703704,2,CIV
Democratic Republic of the Congo,108.39393939393939,3.053198653198653,3,
Denmark,38.16216216216216,1.4924924924924925,1,DNK
Dominican Republic,109.92592592592592,3.0872427983539095,3,DOM
Ecuador,46.128571428571426,1.6695238095238096,2,ECU
Egypt,70.53333333333333,2.2118518518518515,2,EGY
El Salvador,98.45454545454545,2.8323232323232324,3,SLV
Equatorial Guinea,42.0,1.5777777777777777,2,GNQ
